version,S1,S2,S3,S4
SeaMonkey 2.3 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.35 Branch,0.5,0.0,0.5,0.0
SeaMonkey 2.38 Branch,1.0,0.0,0.0,0.0
SeaMonkey 2.39 Branch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
SeaMonkey 2.40 Branch,1.0,0.0,0.0,0.0
SeaMonkey 2.42 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.44 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.49 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.50 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.53,0.03225806451612903,0.03225806451612903,0.9354838709677419,0.0
SeaMonkey 2.54 Branch,0.0,0.0,1.0,0.0
SeaMonkey 2.64,1.0,0.0,0.0,0.0
Staging,0.0,0.0,1.0,0.0
Thunderbird 100,0.0,0.0,1.0,0.0
Thunderbird 101,0.0,1.0,0.0,0.0
Thunderbird 102,0.04054054054054054,0.3783783783783784,0.40540540540540543,0.17567567567567569
Thunderbird 103,0.0,0.3333333333333333,0.6666666666666666,0.0
Thunderbird 105,0.0,0.5,0.5,0.0
Thunderbird 106,0.0,0.0,1.0,0.0
Thunderbird 107,0.0,0.0,1.0,0.0
Thunderbird 108,0.0,0.25,0.75,0.0
Thunderbird 109,0.0,0.0,0.5,0.5
Thunderbird 111,0.16666666666666666,0.05555555555555555,0.7222222222222222,0.05555555555555555
Thunderbird 112,0.0,0.08108108108108109,0.7567567567567568,0.16216216216216217
Thunderbird 113,0.0,0.17857142857142858,0.5714285714285714,0.25
Thunderbird 114,0.0,0.2631578947368421,0.42105263157894735,0.3157894736842105
Thunderbird 115,0.011695906432748537,0.19298245614035087,0.5672514619883041,0.22807017543859648
Thunderbird 116,0.0,0.0,0.8571428571428571,0.14285714285714285
Thunderbird 117,0.0,0.0,0.6,0.4
Thunderbird 118,0.25,0.5,0.25,0.0
Thunderbird 119,0.0,0.42857142857142855,0.5714285714285714,0.0
Thunderbird 120,0.0,0.2,0.5,0.3
Thunderbird 121,0.0,0.3333333333333333,0.6666666666666666,0.0
Thunderbird 122,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111
Thunderbird 123,0.25,0.5,0.25,0.0
Thunderbird 124,0.0,0.6,0.2,0.2
Thunderbird 125,0.0,0.25,0.75,0.0
Thunderbird 126,0.2,0.0,0.6,0.2
Thunderbird 127,0.0,0.18181818181818182,0.18181818181818182,0.6363636363636364
Thunderbird 128,0.04285714285714286,0.11428571428571428,0.6142857142857143,0.22857142857142856
Thunderbird 129,0.0,0.0,0.5,0.5
Thunderbird 130,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Thunderbird 131,0.0,0.0,0.8,0.2
Thunderbird 132,0.0,0.3333333333333333,0.5,0.16666666666666666
Thunderbird 133,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857
Thunderbird 134,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Thunderbird 135,0.0,0.125,0.625,0.25
Thunderbird 136,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285
Thunderbird 137,0.0,0.45454545454545453,0.36363636363636365,0.18181818181818182
Thunderbird 138,0.0,0.4444444444444444,0.4444444444444444,0.1111111111111111
